
PC       BR        IR   BEx_TOS  BEx_S[TOS]  BEx_EA  BEx_(EA)   TOS   S[TOS]      EA       (EA)

HEX      HEX       HEX     HEX   HEX         HEX         HEX     HEX      HEX     HEX       HEX

2c      0000      dc05      2      001e      0005      001e      1      0010      0005      001e
2d      0000      dc04      1      0010      0004      0010      0      0010      0004      0010
2e      0000      9409      0      0010      0009      0010      0      0020      0009      0010
2f      0000      dc09      0      0020      0009      0020      NA      NA       0009      0020
30      0000      d809      NA      NA       0009      0020      0      0020      0009      0020
31      0000      b006      0      0020      0006      0010      1      0001      0006      0010
32      0000      c415      1      0001      0015      d801      0      0020      0015      d801
33      0000      d805      0      0020      0005      001e      1      001e      0005      001e
34      0000      d804      1      001e      0004      0010      2      0010      0004      0010
35      0000      d803      2      0010      0003      0002      3      0002      0003      0002
36      0000      d802      3      0002      0002      0001      4      0001      0002      0001
37      0000      d801      4      0001      0001      0001      5      0001      0001      0001
38      0000      0014      5      0001       NA        NA       4      0001       NA        NA 
39      0000      0014      4      0001       NA        NA       3      0002       NA        NA 
3a      0000      0014      3      0002       NA        NA       2      0010       NA        NA 
3b      0000      0014      2      0010       NA        NA       1      001e       NA        NA 
3c      0000      0014      1      001e       NA        NA       0      0020       NA        NA 
